File Name,num_detection_circle,diameters,num_detection_square,wwtp_area_square
5290.png,4,[     20.834      19.529      19.668      20.034],2,[     2727.3      559.16]
5291.png,1,[     20.921],0,[]
5292.png,8,[     20.747      28.556       28.14      28.397       28.62      20.438      28.237      14.763],0,[]
5293.png,11,[     39.082       39.91       40.43      38.426      37.638      38.117      39.406      38.755      37.758      38.779      15.187],9,[     1477.8      1430.7      1630.4      1656.1      1925.7      3516.1      3641.7      1486.3      158.33]
5294.png,5,[     32.762      21.772      19.201      27.783      17.311],3,[      426.5      1081.2      554.88]
5295.png,11,[     86.523      70.595      70.156      70.363       26.34      24.258      23.728      25.817       25.57      24.703      20.438],1,[     1340.8]
5296.png,4,[     29.216      16.116      29.433        17.1],4,[     507.81      641.89      569.14      567.72]
5297.png,11,[     48.516      48.721      45.979      48.944      48.796      46.587      40.001       40.34      46.117      47.513      29.923],7,[     4603.1      1229.6      3677.3      1226.7      818.77      731.75      835.88]
5298.png,4,[      39.75      29.402      29.061      29.862],1,[     1972.7]
5299.png,5,[     24.145       24.74      21.562      19.761      20.791],3,[     288.14       399.4      111.26]
5300.png,15,[     55.369       55.27      55.712       55.04      18.915      39.636      19.943      18.963      17.311       18.28      55.369       55.04      55.712      17.311       55.27],1,[     316.67]
5301.png,6,[     31.113      28.715      30.879      19.943       22.51       24.74],0,[]
5302.png,3,[     34.727      27.354      26.305],6,[       5767      228.23      202.55      2911.3      203.98      184.01]
5303.png,3,[     35.605      34.961      17.206],2,[     122.67      1072.7]
5304.png,2,[     26.784      27.815],0,[]
5305.png,3,[     30.255      29.648      30.074],3,[      124.1      134.08       124.1]
5306.png,2,[     42.872       43.23],1,[     403.68]
5307.png,8,[     35.065      30.074      34.173      17.571      34.909      34.306      18.181      37.758],3,[     251.05      192.57      430.78]
5308.png,11,[     39.682      38.236      39.841      39.704       39.91      39.682      37.854      30.672      16.724       40.43      16.395],4,[     245.34      152.63      245.34      99.849]
5309.png,1,[     45.542],2,[     2857.1      232.51]
5310.png,4,[      33.23        32.9      32.928      19.059],0,[]
5311.png,8,[     42.702      42.808      41.994      21.562      19.011      20.747      19.201      19.576],0,[]
5312.png,10,[     46.352      46.587      41.186      47.072      46.136      46.936      46.352      46.235      31.891      46.391],7,[     7304.7      1467.8      522.07      542.04      2745.9       323.8      738.89]
5313.png,3,[     33.664      34.013      23.728],1,[     174.02]
5314.png,4,[     36.882      38.732      38.942      29.953],1,[     202.55]
5315.png,7,[     40.832      41.318      40.227       41.34      24.592      24.776      40.987],1,[       3285]
5316.png,5,[      22.95      22.831      14.452      21.266      17.674],2,[     1641.8      246.77]
5317.png,5,[      29.31      20.965      27.717      30.104      20.747],1,[     315.24]
5318.png,7,[      45.84      45.542      46.097      24.776      21.938      24.444      20.921],0,[]
5319.png,2,[     27.288       27.02],0,[]
5320.png,6,[     27.913      28.108      30.583      27.155       27.02      30.879],2,[     1597.6      1226.7]
5321.png,4,[     35.349      34.987       28.14       39.59],1,[     219.67]
5322.png,4,[     24.776      23.381      23.728      21.266],0,[]
5323.png,2,[      40.81      40.876],0,[]
5324.png,7,[     42.998      42.956      32.707      26.682      29.862      28.904      30.849],3,[     586.26      203.98      559.16]
5325.png,7,[     57.287      38.662      27.815      28.172       26.34      28.904      23.651],1,[     109.83]
5326.png,3,[     32.316      32.845      32.512],5,[     141.22      2159.6      161.19      139.79      134.08]
5327.png,4,[     60.809      61.315      17.777      17.416],1,[     651.87]
5328.png,5,[     32.651      32.175      33.038      32.203      14.262],0,[]
5329.png,4,[     30.879      22.103      23.342      23.147],0,[]
5330.png,0,[],8,[     6063.7      6501.6      1453.5      355.18      835.88      1453.5      355.18      835.88]
5331.png,13,[     31.663      31.948      32.288      32.456      26.201      32.428        32.4      26.818      32.428      31.948      23.956      24.108      26.818],4,[     767.41       426.5       323.8      181.16]
5332.png,4,[      32.09      31.806      30.315       28.01],1,[     1215.3]
5333.png,11,[     42.081      42.424      42.382      46.254      33.011      33.011      50.009      33.312      46.176      33.987      30.908],3,[     7072.2      3477.6      8967.9]
5334.png,0,0,0,[0]
5335.png,2,[     34.306      34.147],6,[     3611.7       728.9      694.67      305.25      1867.2      848.72]
5336.png,7,[     33.583      33.826      32.956      35.091       16.56       14.07      23.728],2,[     142.64      657.58]
5337.png,8,[     25.817      22.591      22.751      23.303      25.817      21.897      25.853      24.959],1,[     1747.4]
5338.png,7,[     38.189      38.379      37.541      38.567      38.567      37.541      38.379],2,[     872.97      872.97]
5339.png,1,[      17.52],0,[]
5340.png,4,[      28.01      18.963      19.436      19.154],1,[     6240.6]
5341.png,13,[      60.57      60.644      60.734      38.732      38.708      39.314      38.896      38.022      39.383      39.727      36.734      60.734       60.57],4,[     111.26      161.19      141.22      397.97]
5342.png,9,[     45.602      45.761       38.52      45.262      37.998      22.791      23.068      22.791      23.068],1,[     5986.7]
5343.png,1,[     39.036],0,[]
5344.png,7,[      42.21      41.647      42.339      23.804      24.333      19.714      19.761],1,[     215.39]
