HW_unique_ID,HW_2014_ORG_ID,CWNS_2016_ID,CWNS_2022_ID,new since 2014,closed since 2014,Latitude,Longitude,Facility_Name,HW POP 2014,EPA POP 2016,EPA POP 2022,EPA Treated POP 2022,EPA POP TYPE 2022
25141,1000239001,1000239001,1000239001,,,34.139,-85.6876,CENTRE LAGOON,2268.0,2268.0,3528.0,3528.0,Receiving Collection
25142,1000240001,1000240001,1000240001,,,34.8138,-87.9392,CHEROKEE HCR LAGOON,750.0,750.0,963.0,963.0,Receiving Collection
25143,1000241002,1000241002,1000241002,,,32.847222,-86.606944,CLANTON WALNUT CREEK WWTP,7300.0,7300.0,8768.0,8768.0,Receiving Collection
25144,1000242003,1000242003,1000242003,,,31.8851,-85.4863,CLAYTON WWTP,2550.0,2550.0,2265.0,2265.0,Receiving Collection
25145,1000243001,1000243001,1000243001,,,33.9741,-86.5752,Cleveland WWTP,1020.0,1020.0,1160.0,1160.0,Receiving Collection
25146,1000244001,1000244001,1000244001,,,31.7213,-85.6261,CLIO LAGOON,2216.0,2216.0,1203.0,1203.0,Receiving Collection
25147,1000247001,1000247001,1000247001,,,31.2865,-85.1069,COLUMBIA LAGOON,800.0,800.0,840.0,840.0,Receiving Collection
25148,1000248001,1000248001,1000248001,,,31.0415,-85.2981,COTTONWOOD LAGOON,773.0,773.0,1046.0,1046.0,Receiving Collection
25149,1000250001,1000250001,nan,,,34.6657,-87.3212,COURTLAND WWTP,1234.0,1234.0,,,
25150,1000253001,1000253001,1000253001,,,34.2754,-85.9587,CROSSVILLE INDUSTRIAL PARK WWTP,100.0,100.0,110.0,110.0,Receiving Collection
25151,1000254001,1000254001,1000254001,,,32.4312,-88.366,CUBA WWTP,370.0,370.0,591.0,591.0,Receiving Collection
25152,1000255002,1000255002,1000255002,,,32.8163,-85.7602,DADEVILLE WWTP,1847.0,1847.0,3100.0,3100.0,Receiving Collection
25153,1000256001,1000256001,1000256001,,,31.2953,-85.6848,Daleville-Southeast Lagoon,1445.0,1445.0,2468.0,2468.0,Receiving Collection
25154,1000256004,1000256004,1000256004,,,31.3017,-85.7398,Daleville-Westside WWTP,2200.0,2200.0,2664.0,2664.0,Receiving Collection
25155,1000260001,1000260001,1000260001,,,31.493464,-86.366658,DOZIER LAGOON,391.0,391.0,280.0,280.0,Receiving Collection
25156,1000262001,1000262001,1000262001,,,31.0813,-87.0756,EAST BREWTON WWTP,1497.0,1497.0,2000.0,2000.0,Receiving Collection
