WASTE_ID,LAT_WWTP,LON_WWTP,POP_SERVED,geometry
40168,-23.331,-52.087,4310,"POLYGON ((-51.997168471588054 -23.413460572659783, -51.997168471588054 -23.248488208614113, -52.17683152841195 -23.248488208614113, -52.17683152841195 -23.413460572659783, -51.997168471588054 -23.413460572659783))"
40170,-23.514,-51.675,11474,"POLYGON ((-51.585168471588034 -23.596346366925236, -51.585168471588034 -23.431602106666478, -51.76483152841194 -23.431602106666478, -51.76483152841194 -23.596346366925236, -51.585168471588034 -23.596346366925236))"
40171,-23.531,-51.683,7419,"POLYGON ((-51.59316847158805 -23.61333571502838, -51.59316847158805 -23.448612730087387, -51.77283152841195 -23.448612730087387, -51.77283152841195 -23.61333571502838, -51.59316847158805 -23.61333571502838))"
40174,-23.471,-51.804,9131,"POLYGON ((-51.71416847158805 -23.553373277628182, -51.71416847158805 -23.388575268071936, -51.89383152841195 -23.388575268071936, -51.89383152841195 -23.553373277628182, -51.71416847158805 -23.553373277628182))"
40175,-23.51,-51.801,11160,"POLYGON ((-51.711168471588046 -23.5923488722014, -51.711168471588046 -23.427599608093182, -51.89083152841195 -23.427599608093182, -51.89083152841195 -23.5923488722014, -51.711168471588046 -23.5923488722014))"
40176,-23.515,-51.854,5073,"POLYGON ((-51.76416847158805 -23.597345740543542, -51.76416847158805 -23.432602731372615, -51.943831528411955 -23.432602731372615, -51.943831528411955 -23.597345740543542, -51.76416847158805 -23.597345740543542))"
40178,-24.026,-53.157,4533,"POLYGON ((-53.06716847158803 -24.108022385480865, -53.06716847158803 -23.943925238483306, -53.246831528411946 -23.943925238483306, -53.246831528411946 -24.108022385480865, -53.06716847158803 -24.108022385480865))"
40179,-23.353,-51.958,113915,"POLYGON ((-51.86816847158804 -23.435446887429727, -51.86816847158804 -23.27050185674429, -52.04783152841195 -23.27050185674429, -52.04783152841195 -23.435446887429727, -51.86816847158804 -23.435446887429727))"
40180,-23.488,-51.952,161532,"POLYGON ((-51.86216847158804 -23.570362644052427, -51.86216847158804 -23.40558587312586, -52.04183152841195 -23.40558587312586, -52.04183152841195 -23.570362644052427, -51.86216847158804 -23.570362644052427))"
40181,-23.372,-51.887,75306,"POLYGON ((-51.797168471588044 -23.454435058594253, -51.797168471588044 -23.28951365356327, -51.97683152841195 -23.28951365356327, -51.97683152841195 -23.454435058594253, -51.797168471588044 -23.454435058594253))"
40183,-25.251,-53.994,6467,"POLYGON ((-53.90416847158805 -25.332220727893134, -53.90416847158805 -25.169724931666455, -54.08383152841195 -25.169724931666455, -54.08383152841195 -25.332220727893134, -53.90416847158805 -25.332220727893134))"
40184,-25.286,-54.101,8889,"POLYGON ((-54.011168471588036 -25.367197276623696, -54.011168471588036 -25.204748328253146, -54.19083152841195 -25.204748328253146, -54.19083152841195 -25.367197276623696, -54.011168471588036 -25.367197276623696))"
40186,-23.172,-52.188,12154,"POLYGON ((-52.098168471588046 -23.25455911831317, -52.098168471588046 -23.089389931988393, -52.27783152841195 -23.089389931988393, -52.27783152841195 -23.25455911831317, -52.098168471588046 -23.25455911831317))"
